diversity,generated_post,observation_index,seed
0.1,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx the same that is the same people would be the same time that is the same p,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.15,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx the same that is a people with the that we don t be the same people are th,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.2,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx the same than in the more of the one of the more of the world with the sam,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.25,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx and the more of the more of the second of the more someone was a really a ,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.3,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx the body of the internet of the completely they would be a better than the,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.35,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx the earth of the same person of the things the same station of the story o,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.4,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx the same back that funny. not the movie of the and the world for a compute,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.45,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx humans would be a good the music of our both and exists they did the botto,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.5,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx fast and the thing that is a lot is in a back of the for a poote of a pers,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.55,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx and they get them that if you have never be couple or in the same of the s,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.6,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx to be reason to need out of men for threes specification for the speed of ,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.65,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx love for a man and you make it like a the nothing out of ires would every ,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.7,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx and really day we are computers... it s get you blow the room in a gemmedi,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.75,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx and determation. if you can t no tell of a reguration that the cares for s,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.8,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx person. or movie. how you is displaying the spater on the diught in the sl,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.85,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx knowing a friends. or the facts fulls, or them. then esting majorations aw",0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.9,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxlayt you minopular people was or change they are jicks or opents like to sh,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.95,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx subjects? decame on idainfected are fantant cures. colol, excepture on 1 p",0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
1.0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxo gration. not you re likeful only see. cold because they all have at you o,0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
1.05,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxics twake more assumes, only video can t be case. to say one child, idea in",0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
1.1,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx an eetentar, and years swatch movies that a flasians, but you got cuntress",0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
1.15,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx herling of your job of time? then, when it s their own will have, vaming .",0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
1.2,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxhagular former right my footmavt. now, figure and people all that when it a",0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
1.25,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx rollion of before pielo-objectuman, 10 you fapcos. you has to wind nightch",0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
0.1,dogs are really just people that should be a bad of the same people would be a people with the same people are a ba,1,dogs are really just people that should 
0.15,dogs are really just people that should be a life of the same people are a bad of the same people of the same peopl,1,dogs are really just people that should 
0.2,dogs are really just people that should be a have the same back of the other person are a completely the same that ,1,dogs are really just people that should 
0.25,dogs are really just people that should be the back of the same completely because they would be the world is the s,1,dogs are really just people that should 
0.3,dogs are really just people that should be a completely only the one of the seat of the same both of the same time ,1,dogs are really just people that should 
0.35,dogs are really just people that should be a good story that is the phone of the same people s a player in the same,1,dogs are really just people that should 
0.4,dogs are really just people that should be a control is the time person with the world and they want to keep the mo,1,dogs are really just people that should 
0.45,dogs are really just people that should be person of the other player than the world of a best of the same that the,1,dogs are really just people that should 
